Barbie® as Dorothy™ in The Wizard of Oz™,1995,12701,Collector Edition,The Wizard of Oz™ Collection,Collector,,"Barbie® as Dorothy is off to see the wizard! And she's wearing an authentic replica of the dress Dorothy wore in the movie. From her crisp blue gingham jumper and white petticoat all the way down to her magical ""ruby"" slippers, this Collector Edition doll is sure to make you smile. She even carries her little dog Toto in her basket. So follow the Yellow Brick Road™ and join her in a land of pure enchantment as Barbie® doll portrays Dorothy in The Wizard of Oz™."
Ken® Doll as the Cowardly Lion™ from The Wizard of Oz™,1997,16573,Collector Edition,The Wizard of Oz™ Collection,Collector,,"Coming to you directly from the forest in the land of Oz™ is Ken® doll as the Cowardly Lion™. He's wearing a fleecy lion suit and his body is fully poseable. You can even make him hold his tail when he's afraid, just as he does in the movie. He comes with a crown and a badge of courage. Ken as the Cowardly Lion will surely bring back wonderful memories of this very special character."
World Culture - Happy New Year - Oshogatsu,1995,14024,,,Play line,,
Ken® Doll as the Scarecrow™ from The Wizard of Oz™,1997,16497,,The Wizard of Oz™ Collection,Collector,,"Say hello to Ken® doll as The Scarecrow™ from one of the most beloved movies of all time. His outfit is an authentic reproduction of the costume seen in the classic film. He's adorable dressed in a green jacket and brown pants. Rope is tied at his waist and around his neck and sleeves. Hand sewn patches complete the quality detailing on his pants. His body is fully poseable, so he can be posed in lots of floppy ways!"
Ken® as the Tin Man™ in The Wizard of Oz™,1996,14902,,The Wizard of Oz™ Collection,Collector,,"Wait until you see Ken as the lovable Tin Man™ in this wonderful recreation from everyone's favorite movie. He wears a metallic-looking, silvery ensemble that even has rivets accenting all his joints. He has a poseable body and comes with an oil can, ax and even a red heart-shaped ""clock"" (just like the one the Wizard gave him in the movie). Follow the Yellow Brick Road™ with this very special Collector Edition doll. Ken® doll as the Tin Man may be in search of a heart, but he's sure to win yours in this wonderful, whimsical costume."
Calvin Klein Barbie® Doll,1996,16211,Limited Edition,,Collector,,"What could be hipper? It's a very cool Barbie® doll dressed from head to toe in Calvin Klein designer clothes. She wears a real denim skirt with an authentic CK label and her trendy grey crop top is covered by a denim jacket. Her accessories include an adorable back pack, a CK windbreaker with, of course, a big Calvin Klein logo on the back, sneakers and a baseball cap. Even her underwear sports the familiar Calvin Klein logo."
Calvin Klein Barbie® Doll,1996,16211,Limited Edition,,Collector,,"What could be hipper? It's a very cool Barbie® doll dressed from head to toe in Calvin Klein designer clothes. She wears a real denim skirt with an authentic CK label and her trendy grey crop top is covered by a denim jacket. Her accessories include an adorable back pack, a CK windbreaker with, of course, a big Calvin Klein logo on the back, sneakers and a baseball cap. Even her underwear sports the familiar Calvin Klein logo."
Fao Schwarz - Silver Screen Barbie®,1994,11652,Special Edition,,Collector,,Barbie Fao Schwarz - Silver Screen Barbie® #11652
Poodle Parade® Barbie® Doll,1996,15280,Limited Edition,,Collector,,"Everyone loves a parade, and Barbie® doll could lead one in this reproduction of a 1965 Barbie® doll and vintage fashion. Her facepaint, sculpting and hairstyle are pure nostalgia, while her fitted olive green jumper and checkered knit coat make you yearn for the fashion sense of yesterday. Her accessories include a pink scarf, tote bag, sunglasses, trophy and first prize certificate."
Holiday Memories® Barbie® Doll,1995,14106,Special Edition,Holiday Barbie™ Dolls,Collector,,"Greetings from Holiday Memories® Barbie® doll! Together, Barbie® and Hallmark have teamed up to bring you this very special doll commemorating the 85th anniversary of Hallmark Cards. Barbie® is dressed in a lovely white flared jacket and skirt with a red skirt underneath. Her jacket is trimmed in brown faux fur at the collar and cuffs, and the ensemble is accented with a red and white hat and brown knee-high boots."
Barbie® Doll as Scarlett O’Hara (BBQ Dress),1995,12997,,Hollywood Legends Collection®,Collector,,"Barbie® doll as Scarlett is ready to attend a fun and fancy barbeque in this lovely dress. She wears a flowing white gown with green floral print, a green parasol, and a wide-brimmed ""straw"" hat."
Barbie® Doll as Scarlett O’Hara (Green Drapery Dress),1994,12045,,Hollywood Legends Collection®,Collector,,Only Scarlett O'Hara could look stunning draped in lush green billows of fabric that once hung as curtains. Her ensemble is accented by golden trim and a matching green hat with golden trim. Sparkling emerald eyes and rooted eyelashes compliment the rich colors of the dress.
Ken® Doll as Rhett Butler (Scarlett O’Hara),1995,12741,,Hollywood Legends Collection®,Collector,,Ken® Doll as Rhett Butler looks absolutely breathtaking in her New Orleans honeymoon ensemble.
Barbie® Doll as Scarlett O’Hara (black and white dress),1995,13254,,Hollywood Legends Collection®,Collector,,"Barbie® doll as Scarlett looks absolutely breathtaking in her New Orleans honeymoon ensemble. Outfit includes a gorgeous white gown, matching hat and faux fur muff, along with a black lacy veil and matching arm cuffs."
Barbie® Doll as Scarlett O’Hara (Red Dress),1994,12815,,Hollywood Legends Collection®,Collector,,"Attending Ashley's birthday party, Scarlett is sure to turn heads in this gorgeous red velvet gown with marabou feathers. Her hair is styled in lovely brown ringlets, and golden accessories include drop earrings and bracelet."
Escada Barbie® Doll,1996,15948,Limited Edition,,Collector,,"It's high fashion, high drama and another first for Barbie® doll as she wears a reproduction of an original Escada design. Her exquisite European design features a fitted, black velvet bodice, surrounded by layers of pink silk shantung that creates a graceful cascade of fabric around this radiant Barbie®. The result is a stunning doll and a spellbinding example of haute couture. A Limited Edition doll, Escada Barbie® doll features long, rooted eyelashes, a stunning silk stole, long beaded earrings and ultimate glamour."
Mrs. P.F.E. Albee™ Barbie® Doll,1997,17690,Collector Edition,Avon Exclusives,Collector,,"Say hello to Mrs. P. F. E. Albee™ Barbie® doll, designed to honor the very first Avon Representative. Mrs. Persus Foster Eames Albee was a woman of considerable spirit and style. Mrs. Albee would set out, attired in an outfit very similar to the one that this doll is wearing now. Selling products door-to-door in Winchester, New Hampshire, she represented the California Perfume Company, which would later become Avon. She is wearing a lovely lavender taffeta gown with tiered layers near the waist, puffy sleeves and an elegant train with bustles in back. Her lavender taffeta hat has a net bow in back and pink, gold and purple roses in front. Her accessories include lace-up style shoes, a California Perfume Company brochure, golden stud earrings and hand ring. Mrs. Albee was truly the first and finest of many very special Avon Representatives."
,,16710,,,,,
